frame,FE01,FE02,FE03,FE04,FE05,FE06
1,0.0,0.5700000000000001,0.28,0.68,0,0.35333333333333333
2,0.0,0.573,0.267,0.678,0,0.39999999999999997
3,0.0,0.51,0.30500000000000005,0.595,0,0.4266666666666667
4,0.0,0.531,0.279,0.646,0,0.4033333333333333
5,0.0,0.505,0.27,0.5960000000000001,0,0.32
6,0.0,0.44999999999999996,0.23300000000000004,0.529,0,0.33666666666666667
7,0.0,0.504,0.25000000000000006,0.5920000000000001,0,0.30333333333333334
8,0.0,0.489,0.259,0.5960000000000001,0,0.32
9,0.0,0.144,0.232,0.22499999999999998,0,0.21
10,0.446,0.054000000000000006,0.42500000000000004,0.0,0,0.0
11,1.525,0.32699999999999996,0.894,0.024,0,0.0
12,2.0700000000000003,0.41100000000000003,1.266,0.17099999999999999,0,0.09666666666666666
13,2.327,0.42900000000000005,1.436,0.0,0,0.22999999999999998
14,2.517,0.42100000000000004,1.478,0.021,0,0.18333333333333335
15,2.606,0.487,1.661,0.069,0,0.18999999999999997
16,2.729,0.47000000000000003,1.611,0.138,0,0.13666666666666666
17,2.727,0.41400000000000003,1.616,0.111,0,0.19333333333333333
18,2.653,0.43600000000000005,1.5490000000000002,0.033,0,0.16333333333333333
19,2.677,0.4590000000000001,1.56,0.056999999999999995,0,0.09333333333333334
20,2.637,0.48600000000000004,1.566,0.0,0,0.21333333333333335
21,2.787,0.452,1.612,0.111,0,0.23666666666666666
22,2.72,0.495,1.647,0.063,0,0.2733333333333333
23,2.761,0.53,1.82,0.135,0,0.19333333333333333
24,2.722,0.503,1.673,0.066,0,0.19666666666666666
25,2.7680000000000002,0.43600000000000005,1.6340000000000001,0.069,0,0.15666666666666665
26,2.715,0.462,1.697,0.003,0,0.13999999999999999
27,2.7609999999999997,0.42600000000000005,1.616,0.051000000000000004,0,0.17666666666666667
28,2.792,0.46,1.614,0.198,0,0.19999999999999998
29,2.723,0.387,1.4860000000000002,0.147,0,0.22999999999999998
30,2.7119999999999997,0.47300000000000003,1.6430000000000002,0.165,0,0.21
31,2.771,0.43900000000000006,1.6350000000000002,0.12,0,0.17
32,2.755,0.47300000000000003,1.6820000000000002,0.147,0,0.21666666666666667
33,0.0,0.8840000000000001,1.375,0.51,0,0.5666666666666667
34,0.0,0.924,1.395,0.546,0,0.6066666666666667
35,0.0,0.925,1.3430000000000002,0.555,0,0.6166666666666667
36,0.0,0.915,1.2560000000000002,0.579,0,0.6433333333333333
37,0.0,0.976,1.2610000000000001,0.618,0,0.6866666666666666
38,0.0,0.896,1.1800000000000002,0.588,0,0.6533333333333333
39,0.0,0.8390000000000001,1.1320000000000001,0.531,0,0.59
40,0.0,0.891,1.0710000000000002,0.549,0,0.61
41,0.0,0.711,0.788,0.45899999999999996,0,0.51
42,0.0,0.744,0.5970000000000001,0.546,0,0.6066666666666667
43,0.0,0.5459999999999999,0.306,0.46199999999999997,0,0.56
44,0.0,0.7969999999999999,0.28800000000000003,0.865,0,0.6633333333333333
45,0.0,1.032,0.248,1.178,0,0.6733333333333333
46,0.0,1.287,0.28500000000000003,1.504,0,0.7566666666666667
47,0.0,1.395,0.385,1.7520000000000002,0,0.7366666666666667
48,0.0,1.464,0.45200000000000007,1.9060000000000001,0,0.7600000000000001
49,0.0,1.521,0.42199999999999993,1.9529999999999998,0,0.77
50,0.0,1.563,0.405,2.013,0,0.7866666666666666
51,0.7469999999999999,0.6759999999999999,0.813,1.0899999999999999,0,1.2533333333333332
52,1.261,0.618,0.9470000000000001,0.9810000000000001,0,1.29
53,1.327,0.631,0.8790000000000001,0.8600000000000001,0,1.18
54,1.259,0.651,0.8530000000000001,0.9530000000000001,0,1.2666666666666666
55,1.246,0.627,0.808,0.9850000000000001,0,1.2733333333333332
56,1.178,0.6260000000000001,0.881,1.074,0,1.28
57,1.078,0.645,0.8999999999999999,1.1440000000000001,0,1.3333333333333333
58,1.029,0.6389999999999999,0.883,1.0979999999999999,0,1.3833333333333335
59,1.1520000000000001,0.6400000000000001,0.935,1.1350000000000002,0,1.3766666666666667
60,1.282,0.579,0.9359999999999999,1.081,0,1.3399999999999999
61,1.184,0.6,0.9500000000000001,1.15,0,1.3433333333333335
62,1.06,0.572,0.895,1.018,0,1.2966666666666666
63,1.147,0.6260000000000001,0.974,1.151,0,1.36
64,1.101,0.633,0.9950000000000001,1.177,0,1.3733333333333333
65,1.175,0.6599999999999999,0.919,1.205,0,1.36
66,1.1840000000000002,0.6519999999999999,0.8999999999999999,1.055,0,1.3833333333333335
67,1.149,0.6519999999999999,0.9650000000000001,1.1,0,1.3266666666666667
68,1.1600000000000001,0.61,0.913,1.0150000000000001,0,1.3
69,1.099,0.6140000000000001,0.9630000000000001,1.175,0,1.3399999999999999
70,1.1139999999999999,0.5960000000000001,0.834,1.0550000000000002,0,1.32
71,1.006,0.6339999999999999,0.955,1.124,0,1.2866666666666668
72,1.0979999999999999,0.548,0.8420000000000001,1.114,0,1.2466666666666668
73,1.163,0.589,0.907,1.102,0,1.3299999999999998
74,1.2770000000000001,0.5289999999999999,0.9270000000000002,0.913,0,1.3800000000000001
75,1.278,0.606,0.9090000000000001,0.966,0,1.4266666666666667
76,1.181,0.578,0.904,1.001,0,1.3866666666666667
77,1.242,0.601,0.9160000000000001,1.174,0,1.4000000000000001
78,1.416,0.604,0.9670000000000001,1.08,0,1.3633333333333333
79,1.246,0.615,0.9400000000000002,1.11,0,1.36
80,1.3079999999999998,0.566,0.9890000000000001,1.07,0,1.3166666666666667
81,1.294,0.579,0.9770000000000001,1.09,0,1.36
82,1.165,0.5900000000000001,0.9800000000000001,1.0670000000000002,0,1.2533333333333332
83,1.277,0.629,0.8940000000000001,1.0950000000000002,0,1.4133333333333333
84,1.213,0.583,0.9200000000000002,1.08,0,1.3299999999999998
85,0.0,0.198,0.592,0.198,0,0.22
86,0.0,0.552,1.125,0.21,0,0.2333333333333333
87,0.0,0.5800000000000001,1.165,0.23399999999999999,0,0.26
