frame, face_id, timestamp, confidence, success,FE01,FE02,FE03,FE04,FE05,FE06,FE07
1, 0, 0.000, 0.98, 1,0,0,1.015,0,0,0,0
2, 0, 0.042, 0.98, 1,0,0,1.045,0,0,0,0
3, 0, 0.083, 0.98, 1,0,0,1.045,0,0,0,0
4, 0, 0.125, 0.98, 1,0,0,1.0175,0,0,0,0
5, 0, 0.167, 0.98, 1,0,0,1.0699999999999998,0,0,0,0
6, 0, 0.209, 0.98, 1,0,0,1.0675,0,0,0,0
7, 0, 0.250, 0.98, 1,0,0,1.0775000000000001,0,0,0,0
8, 0, 0.292, 0.98, 1,0,0,1.0525,0,0,0,0
9, 0, 0.334, 0.98, 1,0,0,1.02,0,0,0,0
10, 0, 0.375, 0.98, 1,0,0,1.0575,0,0,0,0
11, 0, 0.417, 0.98, 1,0,0,0.9524999999999999,0,0,0,0
12, 0, 0.459, 0.98, 1,0,0,1.02,0,0,0,0
13, 0, 0.501, 0.98, 1,0,0,0.9875,0,0,0,0
14, 0, 0.542, 0.98, 1,0,0,1.0775,0,0,0,0
15, 0, 0.584, 0.98, 1,0,0,0.975,0,0,0,0
16, 0, 0.626, 0.98, 1,0,0,0.9524999999999999,0,0,0,0
17, 0, 0.667, 0.98, 1,0,0,0.9924999999999999,0,0,0,0
18, 0, 0.709, 0.98, 1,0,0,1.03,0,0,0,0
19, 0, 0.751, 0.98, 1,0,0,1.015,0,0,0,0
20, 0, 0.792, 0.98, 1,0,0,0.94,0,0,0,0
21, 0, 0.834, 0.98, 1,0,0,0.885,0,0,0,0
22, 0, 0.876, 0.98, 1,0,0,0.855,0,0,0,0
23, 0, 0.918, 0.98, 1,0,0.885,0,0,0,0,0
24, 0, 0.959, 0.98, 1,0,0,0.9524999999999999,0,0,0,0
25, 0, 1.001, 0.98, 1,0,0,0,0,0,0.8666666666666667,0
26, 0, 1.043, 0.98, 1,0,0,0,0,0,0.9266666666666666,0
27, 0, 1.084, 0.98, 1,0,0.94,0,0,0,0,0
28, 0, 1.126, 0.98, 1,0,0.91,0,0,0,0,0
29, 0, 1.168, 0.98, 1,0,0,0.9525,0,0,0,0
30, 0, 1.210, 0.98, 1,0,0,1.0625,0,0,0,0
31, 0, 1.251, 0.98, 1,0,0,0.9225000000000001,0,0,0,0
32, 0, 1.293, 0.98, 1,0,0,0.9299999999999999,0,0,0,0
33, 0, 1.335, 0.98, 1,0,0,0.9275,0,0,0,0
34, 0, 1.376, 0.98, 1,0,0,1.0075,0,0,0,0
35, 0, 1.418, 0.98, 1,0,0,0.9475,0,0,0,0
36, 0, 1.460, 0.98, 1,0,0,0.9225,0,0,0,0
37, 0, 1.502, 0.98, 1,0,0,0.9075,0,0,0,0
38, 0, 1.543, 0.98, 1,0,0,1.02,0,0,0,0
39, 0, 1.585, 0.98, 1,0,0,0.995,0,0,0,0
40, 0, 1.627, 0.98, 1,0,0,1.05,0,0,0,0
41, 0, 1.668, 0.98, 1,0,0,1.055,0,0,0,0
49, 0, 2.002, 0.98, 1,0,0,1.0625,0,0,0,0
50, 0, 2.044, 0.98, 1,0,0,1.1275,0,0,0,0
51, 0, 2.085, 0.98, 1,0,0,1.215,0,0,0,0
52, 0, 2.127, 0.98, 1,0,0,1.2149999999999999,0,0,0,0
53, 0, 2.169, 0.98, 1,0,0,1.21,0,0,0,0
54, 0, 2.211, 0.98, 1,0,0,1.1875,0,0,0,0
55, 0, 2.252, 0.98, 1,0,0,1.1975,0,0,0,0
56, 0, 2.294, 0.98, 1,0,0,1.2774999999999999,0,0,0,0
57, 0, 2.336, 0.98, 1,0,0,1.2574999999999998,0,0,0,0
58, 0, 2.377, 0.98, 1,0,0,1.1775,0,0,0,0
59, 0, 2.419, 0.98, 1,0,0,1.2875,0,0,0,0
60, 0, 2.461, 0.98, 1,0,0,1.255,0,0,0,0
61, 0, 2.503, 0.98, 1,0,0,1.4125,0,0,0,0
62, 0, 2.544, 0.98, 1,0,0,1.34,0,0,0,0
63, 0, 2.586, 0.98, 1,0,0,1.3525,0,0,0,0
64, 0, 2.628, 0.98, 1,0,0,1.46,0,0,0,0
65, 0, 2.669, 0.98, 1,0,0,1.5175,0,0,0,0
66, 0, 2.711, 0.98, 1,0,0,1.5374999999999999,0,0,0,0
67, 0, 2.753, 0.98, 1,1.4849999999999999,0,0,0,0,0,0
68, 0, 2.794, 0.98, 1,1.46,0,0,0,0,0,0
69, 0, 2.836, 0.98, 1,1.505,0,0,0,0,0,0
70, 0, 2.878, 0.93, 1,1.505,0,0,0,0,0,0
71, 0, 2.920, 0.93, 1,1.56,0,0,0,0,0,0
72, 0, 2.961, 0.93, 1,1.5550000000000002,0,0,0,0,0,0
73, 0, 3.003, 0.93, 1,1.585,0,0,0,0,0,0
74, 0, 3.045, 0.93, 1,1.635,0,0,0,0,0,0
75, 0, 3.086, 0.93, 1,1.7249999999999999,0,0,0,0,0,0
76, 0, 3.128, 0.93, 1,1.73,0,0,0,0,0,0
77, 0, 3.170, 0.93, 1,1.905,0,0,0,0,0,0
78, 0, 3.212, 0.93, 1,1.88,0,0,0,0,0,0
79, 0, 3.253, 0.93, 1,1.9100000000000001,0,0,0,0,0,0
80, 0, 3.295, 0.93, 1,1.9,0,0,0,0,0,0
81, 0, 3.337, 0.93, 1,1.8599999999999999,0,0,0,0,0,0
82, 0, 3.378, 0.93, 1,1.94,0,0,0,0,0,0
83, 0, 3.420, 0.93, 1,2.135,0,0,0,0,0,0
84, 0, 3.462, 0.93, 1,2.145,0,0,0,0,0,0
85, 0, 3.504, 0.93, 1,2.1350000000000002,0,0,0,0,0,0
86, 0, 3.545, 0.93, 1,2.1950000000000003,0,0,0,0,0,0
87, 0, 3.587, 0.93, 1,2.13,0,0,0,0,0,0
88, 0, 3.629, 0.93, 1,2.125,0,0,0,0,0,0
89, 0, 3.670, 0.93, 1,2.1,0,0,0,0,0,0
90, 0, 3.712, 0.93, 1,2.09,0,0,0,0,0,0
91, 0, 3.754, 0.93, 1,2.05,0,0,0,0,0,0
92, 0, 3.795, 0.93, 1,2.12,0,0,0,0,0,0
93, 0, 3.837, 0.93, 1,2.13,0,0,0,0,0,0
94, 0, 3.879, 0.93, 1,2.15,0,0,0,0,0,0
95, 0, 3.921, 0.93, 1,2.06,0,0,0,0,0,0
96, 0, 3.962, 0.93, 1,2.025,0,0,0,0,0,0
97, 0, 4.004, 0.93, 1,2.1,0,0,0,0,0,0
98, 0, 4.046, 0.93, 1,2.0,0,0,0,0,0,0
99, 0, 4.087, 0.93, 1,1.94,0,0,0,0,0,0
100, 0, 4.129, 0.93, 1,1.9249999999999998,0,0,0,0,0,0
101, 0, 4.171, 0.93, 1,1.76,0,0,0,0,0,0
102, 0, 4.213, 0.93, 1,1.7850000000000001,0,0,0,0,0,0
103, 0, 4.254, 0.93, 1,1.645,0,0,0,0,0,0
104, 0, 4.296, 0.93, 1,1.595,0,0,0,0,0,0
105, 0, 4.338, 0.93, 1,1.545,0,0,0,0,0,0
106, 0, 4.379, 0.93, 1,1.415,0,0,0,0,0,0
107, 0, 4.421, 0.93, 1,1.375,0,0,0,0,0,0
108, 0, 4.463, 0.93, 1,1.335,0,0,0,0,0,0
109, 0, 4.505, 0.93, 1,1.595,0,0,0,0,0,0
110, 0, 4.546, 0.93, 1,1.555,0,0,0,0,0,0
111, 0, 4.588, 0.93, 1,1.67,0,0,0,0,0,0
122, 1, 5.047, 0.93, 1,0,0,0,0,0,1.0866666666666667,0
201, 0, 8.342, 0.93, 1,0.435,0,0,0,0,0,0
202, 0, 8.383, 0.98, 1,0.48,0,0,0,0,0,0
203, 0, 8.425, 0.98, 1,0.375,0,0,0,0,0,0
204, 0, 8.467, 0.98, 1,0.305,0,0,0,0,0,0
205, 0, 8.509, 0.98, 1,0,0,0,0,0.39999999999999997,0,0
206, 0, 8.550, 0.98, 1,0,0,0,0,0.58,0,0
207, 0, 8.592, 0.98, 1,0,0,0,0,0.7633333333333333,0,0
208, 0, 8.634, 0.98, 1,0,0,0,0,0.57,0,0
209, 0, 8.675, 0.98, 1,0,0,0,0,0.43999999999999995,0,0
210, 0, 8.717, 0.98, 1,0,0,0,0,0.7966666666666667,0,0
225, 0, 9.343, 0.98, 1,0,0,0.99,0,0,0,0
226, 0, 9.384, 0.98, 1,0,0,0,0,0,1.0533333333333335,0
227, 0, 9.426, 0.98, 1,0,0,0.7825,0,0,0,0
228, 0, 9.468, 0.98, 1,0,1.1,0,0,0,0,0
229, 0, 9.510, 0.98, 1,0,0,0,0,1.1566666666666667,0,0
230, 0, 9.551, 0.98, 1,0,0,0,0,1.4566666666666668,0,0
231, 0, 9.593, 0.98, 1,0,0,0,0,1.4833333333333334,0,0
232, 0, 9.635, 0.98, 1,0,0,0,0,1.4233333333333331,0,0
233, 0, 9.676, 0.98, 1,0,0,0,0,1.4366666666666665,0,0
234, 0, 9.718, 0.93, 1,0,0,0,0,1.2866666666666666,0,0
235, 0, 9.760, 0.93, 1,0,0,0,0,1.2633333333333334,0,0
236, 0, 9.801, 0.93, 1,0,0,0,0,1.3933333333333333,0,0
237, 0, 9.843, 0.93, 1,0,0,1.1575,0,0,0,0
238, 0, 9.885, 0.93, 1,0,0,0,0,1.2033333333333334,0,0
239, 0, 9.927, 0.93, 1,0,0,0.8424999999999999,0,0,0,0
240, 0, 9.968, 0.93, 1,0,0,0.9525,0,0,0,0
