frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
1, 0, 0.000, 0.98, 1, 1.15, 1.85, 0.00, 0.00, 0.19, 1.37, 0.00, 0.10, 0.58, 0.00, 0.00, 0.00, 0.25, 0.00, 0.78, 1.05, 1.35, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
2, 0, 0.033, 0.98, 1, 1.05, 1.91, 0.00, 0.00, 0.32, 1.67, 0.00, 0.04, 0.63, 0.00, 0.00, 0.00, 0.50, 0.00, 0.91, 1.15, 1.28, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
3, 0, 0.067, 0.98, 1, 0.93, 1.98, 0.00, 0.00, 0.25, 1.49, 0.00, 0.11, 0.66, 0.00, 0.00, 0.00, 0.37, 0.00, 0.88, 1.10, 1.25, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
4, 0, 0.100, 0.98, 1, 0.84, 1.91, 0.00, 0.00, 0.27, 1.36, 0.00, 0.02, 0.70, 0.00, 0.00, 0.00, 0.46, 0.00, 0.88, 1.12, 1.18, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
5, 0, 0.133, 0.98, 1, 0.94, 1.97, 0.01, 0.00, 0.29, 1.40, 0.00, 0.05, 0.73, 0.00, 0.00, 0.00, 0.54, 0.00, 0.90, 1.08, 1.15, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
6, 0, 0.167, 0.98, 1, 1.08, 1.98, 0.08, 0.00, 0.20, 1.31, 0.00, 0.14, 0.65, 0.00, 0.00, 0.00, 0.54, 0.00, 0.89, 0.95, 1.04, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
7, 0, 0.200, 0.98, 1, 0.87, 1.86, 0.00, 0.00, 0.25, 1.33, 0.00, 0.09, 0.65, 0.00, 0.00, 0.00, 0.48, 0.00, 0.85, 0.96, 0.96, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
8, 0, 0.234, 0.98, 1, 0.79, 1.95, 0.00, 0.00, 0.12, 1.49, 0.00, 0.00, 0.49, 0.00, 0.00, 0.00, 0.59, 0.00, 0.93, 0.77, 1.11, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
9, 0, 0.267, 0.98, 1, 0.92, 2.08, 0.00, 0.00, 0.29, 1.08, 0.00, 0.00, 0.57, 0.00, 0.00, 0.00, 0.56, 0.00, 0.89, 0.75, 1.11, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
10, 0, 0.300, 0.98, 1, 0.88, 1.89, 0.00, 0.00, 0.23, 1.19, 0.00, 0.11, 0.61, 0.00, 0.00, 0.00, 0.74, 0.00, 0.87, 0.76, 1.01, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
