frame, face_id, timestamp, confidence, success,FE01,FE02,FE03,FE04,FE05,FE06,FE07
1, 0, 0.000, 0.98, 1,0.6799999999999999,0.0,0.5449999999999999,0.4566666666666667,0.9933333333333333,0.03333333333333333,0
2, 0, 0.033, 0.98, 1,0.77,0.0,0.615,0.5566666666666666,1.0366666666666666,0.013333333333333334,0
3, 0, 0.067, 0.98, 1,0.77,0.0,0.545,0.49666666666666665,0.9700000000000001,0.03666666666666667,0
4, 0, 0.100, 0.98, 1,0.79,0.0,0.545,0.45333333333333337,0.9466666666666667,0.006666666666666667,0
5, 0, 0.133, 0.98, 1,0.815,0.005,0.5975,0.47,0.9733333333333333,0.016666666666666666,0
6, 0, 0.167, 0.98, 1,0.77,0.04,0.6475000000000001,0.4633333333333334,0.9733333333333333,0.04666666666666667,0
7, 0, 0.200, 0.98, 1,0.75,0.0,0.55,0.44333333333333336,0.8933333333333332,0.03,0
8, 0, 0.234, 0.98, 1,0.71,0.0,0.5775,0.49666666666666665,0.8300000000000001,0.0,0
9, 0, 0.267, 0.98, 1,0.73,0.0,0.5925,0.36000000000000004,0.8533333333333334,0.0,0
10, 0, 0.300, 0.98, 1,0.74,0.0,0.6225,0.39666666666666667,0.8366666666666666,0.03666666666666667,0
11, 0, 0.334, 0.98, 1,0.735,0.03,0.6375,0.5,0.7999999999999999,0.0,0
12, 0, 0.367, 0.98, 1,0.7050000000000001,0.08,0.6375000000000001,0.5133333333333333,0.8366666666666666,0.0,0
13, 0, 0.400, 0.98, 1,0.76,0.0,0.555,0.5066666666666667,0.8300000000000001,0.023333333333333334,0
14, 0, 0.434, 0.98, 1,0.77,0.0,0.53,0.48333333333333334,0.7933333333333333,0.0,0
15, 0, 0.467, 0.98, 1,0.73,0.03,0.5975,0.5433333333333333,0.88,0.0,0
16, 0, 0.501, 0.98, 1,0.74,0.02,0.5750000000000001,0.5466666666666667,0.9066666666666666,0.0,0
17, 0, 0.534, 0.98, 1,0.735,0.0,0.6,0.5033333333333333,0.8966666666666666,0.0,0
18, 0, 0.567, 0.98, 1,0.735,0.0,0.57,0.5233333333333333,0.89,0.0,0
19, 0, 0.601, 0.98, 1,0.755,0.005,0.605,0.6533333333333333,0.88,0.0,0
20, 0, 0.634, 0.98, 1,0.77,0.0,0.605,0.64,0.89,0.006666666666666667,0
21, 0, 0.667, 0.98, 1,0.735,0.0,0.53,0.4766666666666666,0.8533333333333334,0.023333333333333334,0
22, 0, 0.701, 0.98, 1,0.74,0.0,0.59,0.5933333333333334,0.9,0.0,0
23, 0, 0.734, 0.98, 1,0.715,0.0,0.48,0.48666666666666664,0.8066666666666666,0.03,0
24, 0, 0.767, 0.98, 1,0.75,0.0,0.5075,0.6033333333333334,0.8433333333333334,0.03666666666666667,0
25, 0, 0.801, 0.98, 1,0.71,0.0,0.48,0.5833333333333334,0.9666666666666667,0.0,0
26, 0, 0.834, 0.98, 1,0.755,0.03,0.48750000000000004,0.61,0.8966666666666668,0.0,0
27, 0, 0.868, 0.98, 1,0.76,0.025,0.5375,0.55,0.9199999999999999,0.02666666666666667,0
28, 0, 0.901, 0.98, 1,0.755,0.0,0.5125,0.45,0.91,0.013333333333333334,0
29, 0, 0.934, 0.98, 1,0.805,0.0,0.5325,0.5433333333333333,0.9333333333333335,0.02,0
30, 0, 0.968, 0.98, 1,0.8049999999999999,0.0,0.5325,0.4766666666666666,0.9400000000000001,0.006666666666666667,0
31, 0, 1.001, 0.98, 1,0.81,0.0,0.55,0.5599999999999999,0.9766666666666667,0.023333333333333334,0
32, 0, 1.034, 0.98, 1,0.85,0.0,0.5675,0.48,0.9466666666666667,0.02666666666666667,0
33, 0, 1.068, 0.98, 1,0.835,0.0,0.5925,0.57,0.9566666666666667,0.02666666666666667,0
34, 0, 1.101, 0.98, 1,0.855,0.0,0.56,0.53,0.9199999999999999,0.013333333333333334,0
35, 0, 1.134, 0.98, 1,0.79,0.0,0.605,0.5166666666666667,0.8733333333333334,0.0,0
36, 0, 1.168, 0.98, 1,0.775,0.0,0.5975,0.5766666666666667,0.8533333333333334,0.0,0
37, 0, 1.201, 0.98, 1,0.755,0.0,0.49750000000000005,0.5133333333333333,0.8266666666666667,0.0,0
38, 0, 1.235, 0.98, 1,0.77,0.0,0.5549999999999999,0.3233333333333333,0.84,0.0,0
39, 0, 1.268, 0.98, 1,0.765,0.005,0.555,0.54,0.8333333333333334,0.0,0
40, 0, 1.301, 0.98, 1,0.7949999999999999,0.0,0.535,0.5499999999999999,0.8533333333333334,0.0,0
41, 0, 1.335, 0.98, 1,0.76,0.0,0.535,0.5233333333333333,0.8733333333333334,0.0,0
42, 0, 1.368, 0.98, 1,0.75,0.0,0.6025,0.47,0.9,0.0,0
43, 0, 1.401, 0.98, 1,0.73,0.0,0.56,0.49,0.84,0.0,0
